"id","fqdn/ip","port","severity","finding","cve","cwe"
"cipher-tls1_2_x9f","devenirenseignant.gouv.fr/185.75.143.93","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 2048    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","devenirenseignant.gouv.fr/185.75.143.93","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 521   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x9e","devenirenseignant.gouv.fr/185.75.143.93","443","OK","TLSv1.2   x9e     DHE-RSA-AES128-GCM-SHA256         DH 2048    AESGCM      128      TLS_DHE_RSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","devenirenseignant.gouv.fr/185.75.143.93","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","devenirenseignant.gouv.fr/185.75.143.93","443","INFO","NOT a cipher order configured","",""
"FS","devenirenseignant.gouv.fr/185.75.143.93","443","OK","offered","",""
"FS_ciphers","devenirenseignant.gouv.fr/185.75.143.93","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","devenirenseignant.gouv.fr/185.75.143.93","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","devenirenseignant.gouv.fr/185.75.143.93","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'status request/#5' 'next protocol/#13172' 'supported versions/#43' 'key share/#51' 'supported_groups/#10'","",""
"TLS_session_ticket","devenirenseignant.gouv.fr/185.75.143.93","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","devenirenseignant.gouv.fr/185.75.143.93","443","INFO","yes","",""
"sessionresumption_ticket","devenirenseignant.gouv.fr/185.75.143.93","443","INFO","not supported","",""
"sessionresumption_ID","devenirenseignant.gouv.fr/185.75.143.93","443","INFO","supported","",""
"TLS_timestamp","devenirenseignant.gouv.fr/185.75.143.93","443","INFO","random","",""
"certificate_compression","devenirenseignant.gouv.fr/185.75.143.93","443","INFO","none","",""
"clientAuth","devenirenseignant.gouv.fr/185.75.143.93","443","INFO","none","",""
"cert_numbers","devenirenseignant.gouv.fr/185.75.143.93","443","INFO","1","",""
"cert_signatureAlgorithm","devenirenseignant.gouv.fr/185.75.143.93","443","OK","SHA384 with RSA","",""
"cert_keySize","devenirenseignant.gouv.fr/185.75.143.93","443","OK","RSA 4096 bits (exponent is 65537)","",""
"cert_keyUsage","devenirenseignant.gouv.fr/185.75.143.93","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","devenirenseignant.gouv.fr/185.75.143.93","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","devenirenseignant.gouv.fr/185.75.143.93","443","INFO","84057A0A29B8320BAEC8D999DF010EC0","",""
"cert_serialNumberLen","devenirenseignant.gouv.fr/185.75.143.93","443","INFO","16","",""
"cert_fingerprintSHA1","devenirenseignant.gouv.fr/185.75.143.93","443","INFO","8FFC0899F3680DBD20F7173047C42469DC2BE314","",""
"cert_fingerprintSHA256","devenirenseignant.gouv.fr/185.75.143.93","443","INFO","3A48D2D3A0147E7F9A3449411671C4F4A2DB8DE4FB8F3D8FC01223F59D15D329","",""
