"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","agriculture.gouv.fr/185.161.46.228","443","INFO","HTTP","",""
"pre_128cipher","agriculture.gouv.fr/185.161.46.228","443","INFO","No 128 cipher limit bug","",""
"SSLv2","agriculture.gouv.fr/185.161.46.228","443","OK","not offered","",""
"SSLv3","agriculture.gouv.fr/185.161.46.228","443","OK","not offered","",""
"TLS1","agriculture.gouv.fr/185.161.46.228","443","INFO","not offered","",""
"TLS1_1","agriculture.gouv.fr/185.161.46.228","443","LOW","offered (deprecated)","",""
"TLS1_2","agriculture.gouv.fr/185.161.46.228","443","OK","offered","",""
"TLS1_3","agriculture.gouv.fr/185.161.46.228","443","OK","offered with final","",""
"ALPN","agriculture.gouv.fr/185.161.46.228","443","INFO","not offered","",""
"cipherlist_NULL","agriculture.gouv.fr/185.161.46.228","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","agriculture.gouv.fr/185.161.46.228","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","agriculture.gouv.fr/185.161.46.228","443","OK","not offered","","CWE-327"
"cipherlist_LOW","agriculture.gouv.fr/185.161.46.228","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","agriculture.gouv.fr/185.161.46.228","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","agriculture.gouv.fr/185.161.46.228","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","agriculture.gouv.fr/185.161.46.228","443","INFO","not offered","",""
"cipherlist_STRONG_FS","agriculture.gouv.fr/185.161.46.228","443","OK","offered","",""
"cipher_order-tls1_1","agriculture.gouv.fr/185.161.46.228","443","OK","server","",""
"cipherorder_TLSv1_1","agriculture.gouv.fr/185.161.46.228","443","INFO","DHE-RSA-AES256-SHA","",""
"cipher_order-tls1_2","agriculture.gouv.fr/185.161.46.228","443","OK","server","",""
"cipherorder_TLSv1_2","agriculture.gouv.fr/185.161.46.228","443","INFO","DHE-RSA-AES256-SHA","",""
